DATE,CPI
4/1/1992,58.85653772
5/1/1992,58.94091985
6/1/1992,59.15187518
7/1/1992,59.27844838
8/1/1992,59.44721265
9/1/1992,59.61597691
10/1/1992,59.82693225
11/1/1992,59.91131438
12/1/1992,59.86912331
1/1/1993,60.16446078
2/1/1993,60.37541611
3/1/1993,60.58637144
4/1/1993,60.75513571
5/1/1993,60.83951784
6/1/1993,60.92389997
7/1/1993,60.92389997
8/1/1993,61.09266424
9/1/1993,61.21923744
10/1/1993,61.47238384
11/1/1993,61.5145749
12/1/1993,61.5145749
1/1/1994,61.68333917
2/1/1994,61.8942945
3/1/1994,62.10524983
4/1/1994,62.18963197
5/1/1994,62.23182303
6/1/1994,62.44277837
7/1/1994,62.61154263
8/1/1994,62.86468903
9/1/1994,63.0334533
10/1/1994,63.07564436
11/1/1994,63.1600265
12/1/1994,63.1600265
1/1/1995,63.41317289
2/1/1995,63.66631929
3/1/1995,63.87727463
4/1/1995,64.08822996
5/1/1995,64.21480316
6/1/1995,64.34137636
7/1/1995,64.34137636
8/1/1995,64.51014062
9/1/1995,64.63671382
10/1/1995,64.84766915
11/1/1995,64.80547809
12/1/1995,64.76328702
1/1/1996,65.14300662
2/1/1996,65.35396195
3/1/1996,65.69149048
4/1/1996,65.94463688
5/1/1996,66.07121008
6/1/1996,66.11340115
7/1/1996,66.23997435
8/1/1996,66.36654755
9/1/1996,66.57750288
10/1/1996,66.78845821
11/1/1996,66.91503141
12/1/1996,66.91503141
1/1/1997,67.12598674
2/1/1997,67.33694208
3/1/1997,67.50570634
4/1/1997,67.59008847
5/1/1997,67.54789741
6/1/1997,67.63227954
7/1/1997,67.71666167
8/1/1997,67.84323487
9/1/1997,68.01199914
10/1/1997,68.18076341
11/1/1997,68.13857234
12/1/1997,68.05419021
1/1/1998,68.18076341
2/1/1998,68.3073366
3/1/1998,68.4339098
4/1/1998,68.560483
5/1/1998,68.6870562
6/1/1998,68.77143834
7/1/1998,68.85582047
8/1/1998,68.9402026
9/1/1998,69.02458473
10/1/1998,69.193349
11/1/1998,69.193349
12/1/1998,69.15115793
1/1/1999,69.3199222
2/1/1999,69.40430433
3/1/1999,69.61525966
4/1/1999,70.12155246
5/1/1999,70.12155246
6/1/1999,70.12155246
7/1/1999,70.33250779
8/1/1999,70.50127206
9/1/1999,70.83880059
10/1/1999,70.96537379
11/1/1999,71.00756486
12/1/1999,71.00756486
1/1/2000,71.21852019
2/1/2000,71.64043086
3/1/2000,72.23110579
4/1/2000,72.27329685
5/1/2000,72.35767899
6/1/2000,72.73739858
7/1/2000,72.90616285
8/1/2000,72.90616285
9/1/2000,73.28588245
10/1/2000,73.41245565
11/1/2000,73.45464671
12/1/2000,73.41245565
1/1/2001,73.87655738
2/1/2001,74.17189484
3/1/2001,74.34065911
4/1/2001,74.63599657
5/1/2001,74.97352511
6/1/2001,75.10009831
7/1/2001,74.88914297
8/1/2001,74.88914297
9/1/2001,75.2266715
10/1/2001,74.97352511
11/1/2001,74.84695191
12/1/2001,74.55161444
1/1/2002,74.72037871
2/1/2002,75.01571617
3/1/2002,75.43762684
4/1/2002,75.8595375
5/1/2002,75.8595375
6/1/2002,75.90172857
7/1/2002,75.9861107
8/1/2002,76.2392571
9/1/2002,76.3658303
10/1/2002,76.4924035
11/1/2002,76.4924035
12/1/2002,76.32363923
1/1/2003,76.66116776
2/1/2003,77.25184269
3/1/2003,77.71594443
4/1/2003,77.54718016
5/1/2003,77.42060696
6/1/2003,77.50498909
7/1/2003,77.58937123
8/1/2003,77.88470869
9/1/2003,78.13785509
10/1/2003,78.05347296
11/1/2003,77.84251763
12/1/2003,77.75813549
1/1/2004,78.13785509
2/1/2004,78.55976576
3/1/2004,79.06605855
4/1/2004,79.31920495
5/1/2004,79.78330668
6/1/2004,80.03645308
7/1/2004,79.90987988
8/1/2004,79.95207095
9/1/2004,80.12083521
10/1/2004,80.54274588
11/1/2004,80.58493695
12/1/2004,80.28959948
1/1/2005,80.45836375
2/1/2005,80.92246548
3/1/2005,81.55533147
4/1/2005,82.10381534
5/1/2005,82.01943321
6/1/2005,82.06162427
7/1/2005,82.44134387
8/1/2005,82.86325453
9/1/2005,83.87584013
10/1/2005,84.0446044
11/1/2005,83.36954733
12/1/2005,83.0320188
1/1/2006,83.6648848
2/1/2006,83.83364906
3/1/2006,84.29775079
4/1/2006,85.01499892
5/1/2006,85.43690959
6/1/2006,85.60567385
7/1/2006,85.85882025
8/1/2006,86.02758452
9/1/2006,85.60567385
10/1/2006,85.14157212
11/1/2006,85.01499892
12/1/2006,85.14157212
1/1/2007,85.40146909
2/1/2007,85.85839834
3/1/2007,86.6401988
4/1/2007,87.20302763
5/1/2007,87.7359008
6/1/2007,87.9059308
7/1/2007,87.88356953
8/1/2007,87.72239966
9/1/2007,87.96415447
10/1/2007,88.15232663
11/1/2007,88.67591776
12/1/2007,88.61642836
1/1/2008,89.05690309
2/1/2008,89.31553433
3/1/2008,90.0897404
4/1/2008,90.63611471
5/1/2008,91.3993511
6/1/2008,92.32038208
7/1/2008,92.80515744
8/1/2008,92.43471987
9/1/2008,92.30688094
10/1/2008,91.37445837
11/1/2008,89.62437294
12/1/2008,88.69743521
1/1/2009,89.08348346
2/1/2009,89.52648966
3/1/2009,89.74419556
4/1/2009,89.96823013
5/1/2009,90.2281271
6/1/2009,91.00317699
7/1/2009,90.85888354
8/1/2009,91.06266639
9/1/2009,91.11962433
10/1/2009,91.20738175
11/1/2009,91.27193408
12/1/2009,91.11118612
1/1/2010,91.42255619
2/1/2010,91.44533936
3/1/2010,91.82083986
4/1/2010,91.98032209
5/1/2010,92.05162499
6/1/2010,91.96175802
7/1/2010,91.98116591
8/1/2010,92.10816102
9/1/2010,92.16174367
10/1/2010,92.27650337
11/1/2010,92.31531915
12/1/2010,92.47395756
1/1/2011,92.9144323
2/1/2011,93.37262728
3/1/2011,94.28311049
4/1/2011,94.89023994
5/1/2011,95.33662142
6/1/2011,95.23451904
7/1/2011,95.31890118
8/1/2011,95.58175152
9/1/2011,95.72688879
10/1/2011,95.5294346
11/1/2011,95.44884966
12/1/2011,95.21342351
1/1/2012,95.6323808
2/1/2012,96.05344764
3/1/2012,96.78293118
4/1/2012,97.07531527
5/1/2012,96.96139939
6/1/2012,96.8192155
7/1/2012,96.66142091
8/1/2012,97.19935701
9/1/2012,97.63308117
10/1/2012,97.59510921
11/1/2012,97.13269512
12/1/2012,96.87111051
1/1/2013,97.15758785
2/1/2013,97.95331137
3/1/2013,98.20941114
4/1/2013,98.10730876
5/1/2013,98.28197977
6/1/2013,98.51782784
7/1/2013,98.55664362
8/1/2013,98.67520051
9/1/2013,98.78996021
10/1/2013,98.53554808
11/1/2013,98.3342967
12/1/2013,98.32585848
1/1/2014,98.69165503
2/1/2014,99.05660775
3/1/2014,99.69453668
4/1/2014,100.0232051
5/1/2014,100.3725471
6/1/2014,100.5594535
7/1/2014,100.5202158
8/1/2014,100.3522954
9/1/2014,100.4278174
10/1/2014,100.1755148
11/1/2014,99.63462536
12/1/2014,99.06968698
1/1/2015,98.6034757
2/1/2015,99.03171502
3/1/2015,99.62112422
4/1/2015,99.82364134
5/1/2015,100.3324656
6/1/2015,100.6839172
7/1/2015,100.6906678
8/1/2015,100.548062
9/1/2015,100.3915331
10/1/2015,100.3463887
11/1/2015,100.1345895
